SCHEM,KEY,TXT,USR_TXT,USR_TXT2,USR_TXT3,USR_TXT4,USR_TXT5,PACKAGE_NAME,PURPOSE,COM,USE_MERGE_FLG,MERGE_STRING,DUPLICATION_PROHIBITION_FLG,PRC_DATE
root,SrwMonthlyLayoutPtnHd,勤務実績入力レイアウト設定（期間表示）,勤務実績入力レイアウト設定（期間表示）,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwNaviKyukaPtnHd,休暇申請ナビゲーション設定,休暇申請ナビゲーション設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwNaviKyukaPtnHd00,休暇申請ナビゲーション00,休暇申請ナビゲーション00,Navigation 00,,,,shuro.aqua,,適用パターン設定名称,0,,0,2010/05/11 16:30:21
root,SrwNaviKyukaPtnHd01,休暇申請ナビゲーション01,休暇申請ナビゲーション01,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwNaviKyukaPtnHd02,休暇申請ナビゲーション02,休暇申請ナビゲーション02,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwNaviKyukaPtnHd03,休暇申請ナビゲーション03,休暇申請ナビゲーション03,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwNaviKyukaPtnHd04,休暇申請ナビゲーション04,休暇申請ナビゲーション04,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwNaviKyukaPtnHd05,休暇申請ナビゲーション05,休暇申請ナビゲーション05,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwNaviKyukaPtnHd06,休暇申請ナビゲーション06,休暇申請ナビゲーション06,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwNaviKyukaPtnHd07,休暇申請ナビゲーション07,休暇申請ナビゲーション07,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwNaviKyukaPtnHd08,休暇申請ナビゲーション08,休暇申請ナビゲーション08,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwNaviKyukaPtnHd09,休暇申請ナビゲーション09,休暇申請ナビゲーション09,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwOctaveLoPtnHd,期間画面勤怠詳細入力設定,期間画面勤怠詳細入力設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwOwriyuFltCdPtnHd,フィルタリングパターン設定（時間外労働理由）,フィルタリングパターン設定（時間外労働理由）,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwPrsnlKinmuFltPtnHd,個人契約情報設定,個人契約情報設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwRecessPtnHd,休憩設定,休憩設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwRttlPtnHd,リアルタイム集約設定,リアルタイム集約設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwSpNumberHd,属性別特定時刻・特定値設定（特定数値）,属性別特定時刻・特定値設定（特定数値）,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwSpTimeHd,属性別特定時刻・特定値設定（特定時刻）,属性別特定時刻・特定値設定（特定時刻）,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwTermLimitPtnHd,勤務実績入力限度値設定（期間限度値）,勤務実績入力限度値設定（期間限度値）,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwTmRttlPtnHd,期間リアルタイム集約設定,期間リアルタイム集約設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwTmSumLotPtnHd,期間合計値レイアウト設定,期間合計値レイアウト設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwVarWorkTerm,変形労働制設定,変形労働制設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwVcCpstPtnHd,休暇[ver.2] 時間代休メンテナンス,休暇[ver.2] 時間代休メンテナンス,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwVcDividePtnHd,休暇[ver.2] 付与休暇按分設定,休暇[ver.2] 付与休暇按分設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwVcLayoutPtnHd,休暇[ver.2] 休暇情報レイアウト,休暇[ver.2] 休暇情報レイアウト,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2010/03/23 11:38:34
root,SrwVcRstPtnHd,休暇[ver.2] 休暇フィルタメンテナンス,休暇[ver.2] 休暇フィルタメンテナンス,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwVcWindowPtnHd,休暇ウィンドウ設定,休暇ウィンドウ設定,,,,,shuro.vc_window,,適用パターン設定名称,0,,0,2011/11/09 20:27:02
root,SrwWfRolePtnHd,就労役割設定,就労役割設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwWittingUsePtnHd,実績申請相互表示機能設定,実績申請相互表示機能設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwWpDayLimitPtnHd,予定申請入力限度値設定（日次限度値）,予定申請入力限度値設定（日次限度値）,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwWpGiPtnHd,予定勤怠データ付加情報設定,予定勤怠データ付加情報設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
